,answer,left_method,participant,right_method,test_case
244,clear,stadv,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,clear,2909358760
245,fmgoat,korhonen,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,fmgoat,2909358760
246,fmgoat,ifgsm,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,fmgoat,2909358760
247,clear,clear,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,stadv,2909358760
248,good,bad,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,good,v5
249,clear,stadv,b2ffa8a7-4304-4e2c-a72f-b4eefb4b961c,clear,2909358760
250,zhang,zhang,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,2640025600
251,clear,clear,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,8639759293
252,zhang,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,zhang,2640025600
253,clear,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,clear,8639759293
254,clear,clear,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,8639759293
255,good,bad,fe7333c4-c1da-42fe-9a1b-0aa861d30784,good,v3
256,korhonen,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,korhonen,2640025600
257,good,good,fe7333c4-c1da-42fe-9a1b-0aa861d30784,bad,v3
258,zhang,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,zhang,2640025600
259,good,bad,fe7333c4-c1da-42fe-9a1b-0aa861d30784,good,v1
260,zhang,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,zhang,2640025600
261,clear,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,clear,8639759293
262,zhang,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,zhang,2640025600
263,ifgsm,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,stadv,3697493807
264,clear,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,clear,8639759293
265,zhang,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,zhang,2640025600
266,ifgsm,stadv,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,3697493807
267,clear,clear,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,6351773844
268,clear,ifgsm,fe7333c4-c1da-42fe-9a1b-0aa861d30784,clear,6351773844
269,ifgsm,stadv,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,3697493807
270,ifgsm,stadv,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,3697493807
271,zhang,zhang,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,2640025600
272,zhang,zhang,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,2640025600
273,zhang,zhang,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,2640025600
274,ifgsm,stadv,fe7333c4-c1da-42fe-9a1b-0aa861d30784,ifgsm,3697493807
275,clear,stadv,1e0f0731-4a37-4885-b27f-8a4777e62b38,clear,8639759293
276,clear,clear,1e0f0731-4a37-4885-b27f-8a4777e62b38,korhonen,3697493807
277,good,good,1e0f0731-4a37-4885-b27f-8a4777e62b38,bad,v5
278,korhonen,ifgsm,1e0f0731-4a37-4885-b27f-8a4777e62b38,korhonen,3697493807
279,stadv,stadv,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,2640025600
280,clear,clear,1e0f0731-4a37-4885-b27f-8a4777e62b38,korhonen,3697493807
281,clear,ifgsm,1e0f0731-4a37-4885-b27f-8a4777e62b38,clear,2640025600
282,clear,clear,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,2640025600
283,good,bad,1e0f0731-4a37-4885-b27f-8a4777e62b38,good,v5
284,fmgoat,fmgoat,1e0f0731-4a37-4885-b27f-8a4777e62b38,zhang,8639759293
285,good,bad,1e0f0731-4a37-4885-b27f-8a4777e62b38,good,v2
286,clear,ifgsm,1e0f0731-4a37-4885-b27f-8a4777e62b38,clear,2640025600
287,clear,clear,1e0f0731-4a37-4885-b27f-8a4777e62b38,korhonen,3697493807
288,clear,ifgsm,1e0f0731-4a37-4885-b27f-8a4777e62b38,clear,2640025600
289,stadv,stadv,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,2640025600
290,fmgoat,zhang,1e0f0731-4a37-4885-b27f-8a4777e62b38,fmgoat,8639759293
291,clear,ifgsm,1e0f0731-4a37-4885-b27f-8a4777e62b38,clear,2640025600
292,korhonen,clear,1e0f0731-4a37-4885-b27f-8a4777e62b38,korhonen,3697493807
293,clear,clear,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,2640025600
294,korhonen,korhonen,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,3697493807
295,zhang,zhang,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,8639759293
296,zhang,zhang,1e0f0731-4a37-4885-b27f-8a4777e62b38,ifgsm,8639759293
